,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
55,55,1BHKBuilderFloor,1,Unfurnished,Bachelors/Family,1477 sqft,"9,800",Shri
56,56,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1260 sqft,"20,000","Upparpally,HyderabadExpressway"
57,57,2BHKApartment,2,Unfurnished,Bachelors/Family,1075 sqft,"15,000","Gangaram,Chandanagar,NH"
58,58,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000","SrinivasNagar,RhodaMistriNagar"
59,59,3BHKApartment,2,Unfurnished,Bachelors,2000 sqft,"35,000","VasanthNagarColony,Nizampet"
60,60,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"36,000",Madhapur
61,61,3BHKApartment,1,Unfurnished,Bachelors/Family,1360 sqft,"13,000","Annojiguda,NH"
62,62,3BHKApartment,1,Semi-Furnished,Bachelors/Family,2025 sqft,"35,000","Neknampur,Manikonda,OuterRingRoad"
63,63,3BHKApartment,3,Semi-Furnished,Family,1860 sqft,"22,000","NGRI,Secunderabad"
64,64,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000","Chandanagar,NH"
65,65,2BHKApartment,2,Unfurnished,Bachelors/Family,1160 sqft,"30,000","SamathaNagar,Kukatpally,NH"
66,66,3BHKApartment,2,Unfurnished,Bachelors,1400 sqft,"17,500",BandlagudaJagir
67,67,3BHKApartment,1,Furnished,Bachelors/Family,1380 sqft,"44,000","JainsCarltonCreek,Gachibowli,OuterRingRoad"
68,68,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"24,000","Kukatpally,NH"
69,69,3BHKApartment,2,Furnished,Bachelors/Family,2000 sqft,"43,000","AdityaImperialHeights,Hafeezpet,NH"
70,70,3BHKApartment,2,Furnished,Bachelors/Family,1800 sqft,"35,000","Nallagandla,Serilingampally"
71,71,3BHKApartment,1,Semi-Furnished,Family,1620 sqft,"25,000",Gajularamaram
72,72,3BHKApartment,3,Semi-Furnished,Family,2200 sqft,"25,000","Ramanthapur,NH"
73,73,3BHKApartment,2,Unfurnished,Bachelors/Family,1810 sqft,"30,000","ALINDEmployeesColony,Serilingampally"
74,74,3BHKBuilderFloor,2,Semi-Furnished,Bachelors,1510 sqft,"12,000","ARKHomes,Bolarum,MedchalRoad"
75,75,4BHKApartment,2,Semi-Furnished,Family,2800 sqft,"50,000","Kokapet,OuterRingRoad"
76,76,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,"48,000","SMRVinayIconia,Kondapur"
77,77,3BHKApartment,2,Semi-Furnished,Family,1705 sqft,"30,000",HitechCity
78,78,2BHKApartment,2,Unfurnished,Bachelors/Family,900 sqft,"19,000",Papulguda
79,79,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1690 sqft,"38,000","MyHomeVihanga,Gachibowli,OuterRingRoad"
80,80,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"35,000","AdityaEmpressTowers,Shaikpet"
81,81,2BHKApartment,1,Unfurnished,Bachelors/Family,800 sqft,"10,000",Attapur
82,82,3BHKApartment,2,Unfurnished,Bachelors,1360 sqft,"14,000",BalajiHillsColony
83,83,2BHKApartment,1,Furnished,Bachelors,1200 sqft,"29,000","GreenSpaceHillPark,Manikonda,OuterRingRoad"
84,84,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"17,000",Puppalaguda
85,85,3BHKApartment,1,Unfurnished,Bachelors/Family,1580 sqft,"16,000","GKPride,Yapral"
86,86,2BHKBuilderFloor,2,Unfurnished,Bachelors,900 sqft,"15,000",Mehdipatnam
87,87,3BHKApartment,2,Unfurnished,Bachelors,1230 sqft,"17,000",Nizampet
88,88,2BHKBuilderFloor,2,Semi-Furnished,Bachelors,1050 sqft,"18,000","Kavadiguda,NH"
89,89,2BHKApartment,2,Unfurnished,Bachelors/Family,1265 sqft,"9,000","Gundlapochampally,OuterRingRoad"
90,90,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"16,000",EastMarredpally
91,91,3BHKApartment,2,Semi-Furnished,Family,1400 sqft,"21,000","SiliconRidge,Attapur"
92,92,3BHKApartment,1,Unfurnished,Bachelors/Family,1550 sqft,"13,000","GksHabitatRoyale,Yapral"
93,93,2BHKBuilderFloor,1,Semi-Furnished,Family,1100 sqft,"17,000",Attapur
94,94,2BHKPenthouse,2,Furnished,Bachelors,970 sqft,"17,000","GreenSpaceResidency,Gajularamaram"
95,95,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,"40,000","LacasaKApartments,BanjaraHills,NH"
96,96,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,"30,000",Gopanapalli
97,97,3BHKApartment,1,Semi-Furnished,Bachelors,1738 sqft,"48,000",Kondapur
98,98,3BHKApartment,1,Unfurnished,Bachelors,1834 sqft,"40,000","MyHomeAvatar,Narsingi,OuterRingRoad"
99,99,3BHKApartment,1,Unfurnished,Bachelors,1477 sqft,"24,000","RamkyOneMarvel,Kukatpally,NH"
100,100,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1250 sqft,"18,000","GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway"
101,101,2BHKApartment,1,Semi-Furnished,Family,1314 sqft,"30,000","MyHomeAvatar,Narsingi,OuterRingRoad"
102,102,3BHKApartment,3,Semi-Furnished,Family,3250 sqft,"36,000","Floatilla,Manikonda,OuterRingRoad"
103,103,4BHKApartment,1,Semi-Furnished,Family,2200 sqft,"50,000","AshokaLiviano,Gachibowli,OuterRingRoad"
104,104,3BHKApartment,1,Semi-Furnished,Bachelors,1360 sqft,"15,000","ModiEmeraldHeights,Pocharam,NH"
105,105,3BHKServiceApartment,1,Furnished,Bachelors,1460 sqft,"30,000",Shamshabad
106,106,3BHKApartment,2,Unfurnished,Bachelors,1150 sqft,"18,000",RoyalColony-RamBaghColony
107,107,3BHKApartment,2,Semi-Furnished,Family,2000 sqft,"25,000","AnjaneyanagarColony,Boduppal"
108,108,2BHKBuilderFloor,1,Unfurnished,Family,900 sqft,"9,500",Bairagiguda
109,109,3BHKApartment,3,Semi-Furnished,Family,1600 sqft,"27,000",WestMarredpally
110,110,3BHKApartment,2,Furnished,Bachelors/Family,1477 sqft,"36,000",KavuriHills
111,111,3BHKBuilderFloor,1,Furnished,Bachelors,1369 sqft,"45,000",MasabTank
112,112,3BHKApartment,4,Semi-Furnished,Bachelors/Family,2580 sqft,"48,000",Whitefields
113,113,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2259 sqft,"45,000","LodhaMeridian,KukatpallyHousingBoardColony,NH"
114,114,3BHKApartment,3,Semi-Furnished,Family,1800 sqft,"32,000","Khairatabad,NH"
115,115,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"33,000","MyHomeAvatar,Myhomeavatar"
116,116,2BHKApartment,1,Unfurnished,Bachelors/Family,890 sqft,"8,000",Medipally
117,117,3BHKApartment,1,Unfurnished,Bachelors/Family,1843 sqft,"40,000","MyHomeAvatar,Narsingi,OuterRingRoad"
118,118,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"25,000","OldNallakunta,NewNallakunta"
119,119,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"12,000","ParamountResidency,Nagaram"
120,120,3BHKApartment,1,Furnished,Bachelors/Family,1477 sqft,"18,000","Sadbhavana,Ghatkesar,NH"
121,121,3BHKApartment,2,Furnished,Bachelors/Family,1100 sqft,"13,000","JanapriyaLakefront,Sainikpuri"
122,122,3BHKApartment,2,Semi-Furnished,Family,2000 sqft,"25,000",SuchitraCircle
123,123,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2540 sqft,"38,000","NCCUrbanOne,Narsingi,OuterRingRoad"
124,124,2BHKApartment,2,Semi-Furnished,Bachelors,1150 sqft,"16,000","GandhiNagar,Kavadiguda,NH"
125,125,2BHKBuilderFloor,1,Unfurnished,Bachelors/Family,1250 sqft,"10,500","Beeramguda,RamachandraPuram,NH"
126,126,3BHKBuilderFloor,2,Furnished,Bachelors/Family,2200 sqft,"40,000",GachibowliPhase
127,127,2BHKApartment,2,Furnished,Bachelors/Family,1120 sqft,"19,000","BasheerBagh,NH"
128,128,3BHKApartment,2,Semi-Furnished,Family,1608 sqft,"20,000","Manchirevula,OuterRingRoad"
129,129,3BHKApartment,2,Furnished,Bachelors/Family,2000 sqft,"20,000",OsmanNagar
130,130,2BHKApartment,1,Semi-Furnished,Family,1200 sqft,"26,000","Ameerpet,NH"
131,131,2BHKApartment,2,Unfurnished,Bachelors,1000 sqft,"20,000",BandariLayout
132,132,2BHKApartment,1,Unfurnished,Bachelors/Family,1100 sqft,"18,500","AlHasnathColony,ToliChowki"
133,133,2BHKApartment,1,Unfurnished,Bachelors,950 sqft,"35,000",Shaikpet
134,134,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,"40,000","NCLSindhu,DandamudiEnclave,Jeedimetla"
135,135,3BHKApartment,2,Furnished,Family,2045 sqft,"30,000",Shaikpet
136,136,3BHKApartment,2,Furnished,Bachelors/Family,1800 sqft,"40,000","Nallagandla,Serilingampally"
137,137,3BHKApartment,1,Semi-Furnished,Family,1368 sqft,"21,000",Gajularamaram
138,138,3BHKApartment,3,Unfurnished,Bachelors/Family,1477 sqft,"18,000",Gowlidoddy
139,139,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1500 sqft,"32,500","KukatpallyHousingBoardColony,NH"
140,140,3BHKApartment,2,Semi-Furnished,Bachelors,1450 sqft,"32,000","KavuriHills,Madhapur"
141,141,3BHKApartment,2,Furnished,Bachelors/Family,2347 sqft,"45,000","SMRVinayIconia,Kondapur"
142,142,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000","TrendsetWinz,Gachibowli,OuterRingRoad"
143,143,3BHKApartment,1,Semi-Furnished,Family,1650 sqft,"40,000","Gachibowli,OuterRingRoad"
144,144,3BHKApartment,2,Unfurnished,Bachelors,1865 sqft,"31,500","InduFortuneFieldsapartments,HitechCity"
145,145,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2200 sqft,"24,000","OldMalakpet,NH"
146,146,3BHKApartment,2,Semi-Furnished,Family,3000 sqft,"45,000","Hafeezpet,NH"
147,147,2BHKApartment,2,Semi-Furnished,Bachelors,1000 sqft,"13,000","TempleAlwal,Secunderabad,SiddipetRoad"
148,148,2BHKApartment,1,Unfurnished,Bachelors,1300 sqft,"20,000","Punjagutta,NH"
149,149,2BHKServiceApartment,2,Furnished,Family,1300 sqft,"18,000","SamathaNagar,Kukatpally,NH"
150,150,3BHKApartment,1,Furnished,Family,1375 sqft,"45,000","LancoHills,Manikonda,OuterRingRoad"
151,151,3BHKBuilderFloor,1,Semi-Furnished,Bachelors/Family,1800 sqft,"20,000","Narsingi,OuterRingRoad"
152,152,3BHKBuilderFloor,2,Semi-Furnished,Bachelors,2000 sqft,"36,000","Domalguda,HimayathNagar,NH"
153,153,3BHKApartment,2,Semi-Furnished,Family,1600 sqft,"22,000","NCLGanga,Kompally"
154,154,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,2100 sqft,"23,000","PragathiNagar-Ramanthpur,NH"
155,155,3BHKApartment,3,Semi-Furnished,Family,1789 sqft,"15,500","Saket,Secunderabad"
156,156,3BHKBuilderFloor,1,Unfurnished,Family,1450 sqft,"12,000",Sainikpuri
157,157,4BHKApartment,3,Semi-Furnished,Bachelors,3380 sqft,"45,000","NCCUrbanOne,Narsingi,OuterRingRoad"
158,158,3BHKApartment,1,Semi-Furnished,Bachelors/Family,2000 sqft,"35,000","Lakdikapul,NH"
159,159,2BHKBuilderFloor,3,Unfurnished,Bachelors,1100 sqft,"15,000",VidyaNagar
160,160,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1690 sqft,"32,000","AparnaHillparkGardenia,Chandanagar,NH"
161,161,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1750 sqft,"22,000","KalyanPuri,Secunderabad"
162,162,2BHKApartment,3,Furnished,Bachelors,1050 sqft,"27,000",NehruNagar-WestMarredpally
163,163,2BHKBuilderFloor,2,Unfurnished,Bachelors/Family,800 sqft,"10,000",SangareddyDistrict
164,164,2BHKApartment,1,Furnished,Bachelors,1070 sqft,"22,000","SamataColony,ToliChowki"
165,165,3BHKApartment,1,Semi-Furnished,Family,1252 sqft,"12,000",Dammaiguda
166,166,3BHKApartment,3,Semi-Furnished,Bachelors,1150 sqft,"16,000","TilakNagar,NewNallakunta,NH"
167,167,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"22,000","Tellapur,OuterRingRoad"
168,168,3BHKApartment,2,Furnished,Bachelors/Family,1590 sqft,"39,000","AdityaImperialHeights,Hafeezpet,NH"
169,169,3BHKApartment,2,Unfurnished,Bachelors/Family,1700 sqft,"18,000",Karwansahu
170,170,3BHKApartment,3,Furnished,Family,1550 sqft,"50,000",NewMallepally
171,171,2BHKApartment,1,Unfurnished,Bachelors,1314 sqft,"33,000","MyHomeAvatar,Narsingi,OuterRingRoad"
172,172,3BHKApartment,2,Semi-Furnished,Family,1000 sqft,"18,500",MayurMarg
173,173,3BHKApartment,3,Furnished,Bachelors/Family,1950 sqft,"48,000",NanakramGuda
174,174,4BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,4000 sqft,"25,000","SaptagiriColony,Kukatpally,NH"
175,175,2BHKApartment,2,Furnished,Bachelors/Family,1477 sqft,"15,000",Sangareddy
176,176,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1000 sqft,"14,000","DilsukhNagar,NH"
177,177,3BHKBuilderFloor,3,Unfurnished,Bachelors/Family,1630 sqft,"20,000","Alkapuri,LBNagar,NH"
178,178,2BHKApartment,2,Furnished,Bachelors/Family,1050 sqft,"27,000",Madhapur
179,179,2BHKApartment,2,Semi-Furnished,Bachelors/Family,915 sqft,"15,000","Vidyanagar,Adikmet"
180,180,2BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1200 sqft,"14,000","Champapet,Koti"
181,181,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1144 sqft,"16,500","NirmalaRatnaApartment,Gangaram,Chandanagar,NH"
182,182,3BHKApartment,1,Semi-Furnished,Family,1660 sqft,"29,000","MotiNagar-Erragadda,NH"
